participant_id,trial_number,y_length,response
Participant_05,65,385,Equal
Participant_05,66,430,Y
Participant_05,67,430,Y
Participant_05,68,385,Equal
Participant_05,69,430,Equal
Participant_05,70,355,X
Participant_06,1,430,Y
Participant_06,2,445,Y
Participant_06,3,385,Equal
Participant_06,4,385,X
Participant_06,5,430,Y
Participant_06,6,430,Y
Participant_06,7,385,X
Participant_06,8,445,Y
Participant_06,9,370,X
Participant_06,10,385,X
Participant_06,11,445,Equal
Participant_06,12,370,X
Participant_06,13,415,Equal
Participant_06,14,355,X
Participant_06,15,370,X
Participant_06,16,355,X
Participant_06,17,355,X
Participant_06,18,400,Equal
Participant_06,19,415,Y
Participant_06,20,355,Equal
Participant_06,21,400,Equal
Participant_06,22,400,Equal
Participant_06,23,445,Y
Participant_06,24,385,X
Participant_06,25,445,Y
Participant_06,26,445,Y
Participant_06,27,430,Y
Participant_06,28,355,X
Participant_06,29,415,Equal
Participant_06,30,415,Equal
Participant_06,31,385,X
Participant_06,32,415,Equal
Participant_06,33,355,X
Participant_06,34,430,Y
Participant_06,35,430,Equal
Participant_06,36,370,X
Participant_06,37,355,X
Participant_06,38,415,Equal
Participant_06,39,445,Y
Participant_06,40,400,Equal
Participant_06,41,415,Equal
Participant_06,42,370,X
Participant_06,43,385,X
Participant_06,44,370,X
Participant_06,45,415,Equal
Participant_06,46,355,Equal
Participant_06,47,430,Y
Participant_06,48,370,X
Participant_06,49,400,X
Participant_06,50,415,Y
Participant_06,51,445,Equal
Participant_06,52,370,X
Participant_06,53,430,Equal
Participant_06,54,355,X
Participant_06,55,400,Equal
Participant_06,56,400,Equal
Participant_06,57,355,X
Participant_06,58,430,Y
Participant_06,59,370,Equal
Participant_06,60,370,X
Participant_06,61,415,Y
Participant_06,62,385,X
Participant_06,63,430,Y
Participant_06,64,445,Y
Participant_06,65,385,Equal
Participant_06,66,400,X
Participant_06,67,445,Equal
Participant_06,68,385,X
Participant_06,69,400,X
Participant_06,70,400,X
Participant_07,1,370,Equal
Participant_07,2,370,X
Participant_07,3,445,Y
Participant_07,4,370,X
Participant_07,5,385,Equal
Participant_07,6,415,Y
Participant_07,7,430,Equal
Participant_07,8,385,Equal
Participant_07,9,385,Y
Participant_07,10,370,X
Participant_07,11,370,X
Participant_07,12,415,Y
Participant_07,13,355,X
Participant_07,14,355,X
Participant_07,15,370,Equal
Participant_07,16,415,Y
Participant_07,17,355,X
Participant_07,18,445,Y
Participant_07,19,415,X
Participant_07,20,355,X
Participant_07,21,430,Y
Participant_07,22,415,Y
Participant_07,23,430,Equal
Participant_07,24,385,Equal
Participant_07,25,370,Equal
Participant_07,26,430,Equal
Participant_07,27,445,Y
Participant_07,28,370,X
Participant_07,29,415,Equal
Participant_07,30,400,Equal
Participant_07,31,385,X
Participant_07,32,400,Y
Participant_07,33,355,Equal
Participant_07,34,400,Equal
Participant_07,35,385,Equal
Participant_07,36,355,X
Participant_07,37,445,Y
Participant_07,38,385,X
Participant_07,39,400,Equal
Participant_07,40,400,Equal
Participant_07,41,445,Equal
Participant_07,42,400,Y
Participant_07,43,430,Equal
Participant_07,44,430,Y
Participant_07,45,415,Y
Participant_07,46,400,Equal
Participant_07,47,430,Equal
Participant_07,48,355,X
Participant_07,49,430,Y
Participant_07,50,355,X
Participant_07,51,385,Equal
Participant_07,52,370,X
Participant_07,53,430,Y
Participant_07,54,430,Y
Participant_07,55,445,Equal
Participant_07,56,385,X
Participant_07,57,400,Equal
Participant_07,58,355,X
Participant_07,59,355,X
Participant_07,60,445,Y
Participant_07,61,415,Y
Participant_07,62,445,Y
Participant_07,63,400,Equal
Participant_07,64,445,Y
Participant_07,65,415,Equal
Participant_07,66,385,X
Participant_07,67,370,X
Participant_07,68,445,Equal
Participant_07,69,415,Y
Participant_07,70,400,Y
Participant_08,1,370,X
Participant_08,2,430,Equal
Participant_08,3,415,Y
Participant_08,4,445,Equal
Participant_08,5,445,Y
Participant_08,6,385,X
Participant_08,7,400,X
Participant_08,8,385,X
Participant_08,9,400,Equal
Participant_08,10,445,Y
Participant_08,11,355,X
Participant_08,12,370,Equal
Participant_08,13,445,Y
Participant_08,14,430,Equal
Participant_08,15,385,X
Participant_08,16,430,Equal
Participant_08,17,445,Equal
Participant_08,18,355,X
Participant_08,19,400,Equal
Participant_08,20,385,Equal
Participant_08,21,415,Equal
Participant_08,22,385,X
Participant_08,23,400,Equal
Participant_08,24,370,X
Participant_08,25,355,Equal
Participant_08,26,355,X
Participant_08,27,355,Equal
Participant_08,28,370,X
Participant_08,29,445,Y
Participant_08,30,415,Equal
Participant_08,31,415,Equal
Participant_08,32,370,Equal
Participant_08,33,355,Equal
Participant_08,34,445,Y
Participant_08,35,400,Equal
Participant_08,36,445,Equal
Participant_08,37,370,X
Participant_08,38,430,Y
Participant_08,39,370,X
Participant_08,40,400,Equal
Participant_08,41,385,X
Participant_08,42,355,X
Participant_08,43,400,Equal
Participant_08,44,370,X
Participant_08,45,385,X
Participant_08,46,370,Equal
Participant_08,47,415,Equal
Participant_08,48,430,Equal
Participant_08,49,430,Equal
Participant_08,50,415,Equal
Participant_08,51,385,X
Participant_08,52,430,Equal
Participant_08,53,385,X
Participant_08,54,430,X
Participant_08,55,415,Equal
Participant_08,56,355,X
Participant_08,57,400,X
Participant_08,58,415,Equal
Participant_08,59,355,X
Participant_08,60,385,Equal
Participant_08,61,445,Y
Participant_08,62,355,X
Participant_08,63,445,Equal
Participant_08,64,415,Equal
Participant_08,65,400,X
Participant_08,66,430,Equal
Participant_08,67,415,Equal
Participant_08,68,400,X
Participant_08,69,430,Equal
Participant_08,70,370,X
